transaction_id,employee_id,amount,date,region,product
T201,1002,16500,2024-04-02,North,Software
T202,1007,9200,2024-04-05,South,Hardware
T203,1012,13500,2024-04-08,East,Consulting
T204,1016,7800,2024-04-10,West,Support
T205,1021,19500,2024-04-12,North,Software
T206,1026,10800,2024-04-15,South,Hardware
T207,1031,15200,2024-04-18,East,Consulting
T208,1036,8500,2024-04-20,West,Support
T209,1041,17800,2024-04-22,North,Software
T210,1046,12200,2024-04-25,South,Hardware
T211,1056,14800,2024-04-28,East,Consulting
T212,1060,9500,2024-04-30,West,Support
T213,1065,18200,2024-05-02,North,Software
T214,1070,11500,2024-05-05,South,Hardware
T215,1075,16800,2024-05-08,East,Consulting
T216,1080,8200,2024-05-10,West,Support
T217,1085,20500,2024-05-12,North,Software
T218,1090,13200,2024-05-15,South,Hardware
T219,1002,15500,2024-05-18,East,Consulting
T220,1007,9800,2024-05-20,West,Support
T221,1012,17200,2024-05-22,North,Software
T222,1016,11800,2024-05-25,South,Hardware
T223,1021,14500,2024-05-28,East,Consulting
T224,1026,8800,2024-05-30,West,Support
T225,1031,19800,2024-06-02,North,Software
T226,1036,12800,2024-06-05,South,Hardware
T227,1041,16200,2024-06-08,East,Consulting
T228,1046,9200,2024-06-10,West,Support
T229,1056,18500,2024-06-12,North,Software
T230,1060,13800,2024-06-15,South,Hardware
T231,1065,15800,2024-06-18,East,Consulting
T232,1070,8500,2024-06-20,West,Support
T233,1075,21000,2024-06-22,North,Software
T234,1080,14200,2024-06-25,South,Hardware
T235,1085,17500,2024-06-28,East,Consulting
T236,1090,10500,2024-06-30,West,Support
T237,1002,14800,2024-04-03,North,Software
T238,1007,9600,2024-04-06,South,Hardware
T239,1012,16200,2024-04-09,East,Consulting
T240,1016,8100,2024-04-11,West,Support
T241,1021,18800,2024-04-14,North,Software
T242,1026,11200,2024-04-17,South,Hardware
T243,1031,14200,2024-04-19,East,Consulting
T244,1036,7900,2024-04-21,West,Support
T245,1041,17200,2024-04-24,North,Software
T246,1046,12800,2024-04-27,South,Hardware
T247,1056,15500,2024-04-29,East,Consulting
T248,1060,9100,2024-05-01,West,Support
T249,1065,19200,2024-05-04,North,Software
T250,1070,13500,2024-05-07,South,Hardware
T251,1075,16500,2024-05-09,East,Consulting
T252,1080,8800,2024-05-11,West,Support
T253,1085,20200,2024-05-14,North,Software
T254,1090,14500,2024-05-17,South,Hardware
T255,1002,17800,2024-05-19,East,Consulting
T256,1007,10200,2024-05-21,West,Support
T257,1012,15200,2024-05-24,North,Software
T258,1016,9500,2024-05-27,South,Hardware
T259,1021,18200,2024-05-29,East,Consulting
T260,1026,11500,2024-06-01,West,Support
T261,1031,16800,2024-06-04,North,Software
T262,1036,10800,2024-06-07,South,Hardware
T263,1041,14800,2024-06-09,East,Consulting
T264,1046,8200,2024-06-11,West,Support
T265,1056,19500,2024-06-14,North,Software
T266,1060,12500,2024-06-17,South,Hardware
T267,1065,17200,2024-06-19,East,Consulting
T268,1070,9800,2024-06-21,West,Support
